SEASON,RANK,TEAM,HOME GAMES,HOME ATTENDANCE,ROAD GAMES,ROAD ATTENDANCE,TOTAL GAMES,TOTAL ATTENDANCE,average_attendance,season_start,previous_avg_attendence,avg_attendance_change_from_prev
2000-01,28,Anaheim,41,553470,41,682445,82,1235915,15072,2000,,
2001-02,30,Anaheim,41,492089,41,698804,82,1190893,14523,2001,15072.0,-0.03642515923566879
2002-03,26,Anaheim,41,573524,41,681215,82,1254739,15302,2002,14523.0,0.05363905529160642
2003-04,24,Anaheim,41,614476,41,683183,82,1297659,15825,2003,15302.0,0.03417853875310417
2005-06,24,Anaheim,41,620380,41,708029,82,1328409,16200,2005,15825.0,0.023696682464454975
2006-07,20,Anaheim,41,671965,41,687980,82,1359945,16585,2006,16200.0,0.023765432098765433
2007-08,15,Anaheim,41,704932,41,704175,82,1409107,17184,2007,16585.0,0.03611697316852577
2008-09,17,Anaheim,41,696629,41,717541,82,1414170,17246,2008,17184.0,0.003608007448789572
2009-10,24,Anaheim,41,621903,41,691793,82,1313696,16021,2009,17246.0,-0.07103096370172794
2010-11,26,Anaheim,41,604283,41,700649,82,1304932,15914,2010,16021.0,-0.006678734161413145
2011-12,26,Anaheim,41,605171,41,694212,82,1299383,15846,2011,15914.0,-0.004272967198692974
2012-13,25,Anaheim,24,381308,24,420552,48,801860,16705,2012,15846.0,0.05420926416761328
2013-14,21,Anaheim,41,675248,41,754564,82,1429812,17437,2013,16705.0,0.0438192158036516
2014-15,20,Anaheim,41,691835,41,707619,82,1399454,17067,2014,17437.0,-0.02121924643000516
2015-16,23,Anaheim,41,669805,41,708275,82,1378080,16806,2015,17067.0,-0.015292670065037792
2016-17,22,Anaheim,41,653632,41,712908,82,1366540,16665,2016,16806.0,-0.008389860764012852
2017-18,23,Anaheim,41,682060,41,710284,82,1392344,16980,2017,16665.0,0.018901890189018902
2000-01,27,Arizona,41,583194,41,683183,82,1266377,15444,2000,,
2001-02,29,Arizona,41,539770,41,683142,82,1222912,14914,2001,15444.0,-0.034317534317534315
2002-03,29,Arizona,41,542404,41,664118,82,1206522,14714,2002,14914.0,-0.013410218586562961
2003-04,19,Arizona,41,634152,41,647759,82,1281911,15633,2003,14714.0,0.062457523447057225
2005-06,22,Arizona,41,638871,41,697492,82,1336363,16297,2005,15633.0,0.04247425318237063
2006-07,24,Arizona,41,614519,41,679534,82,1294053,15781,2006,16297.0,-0.0316622691292876
2007-08,29,Arizona,41,607638,41,688882,82,1296520,15811,2007,15781.0,0.0019010202141816108
2008-09,28,Arizona,41,609907,41,709956,82,1319863,16096,2008,15811.0,0.018025425336790843
2009-10,30,Arizona,41,491558,41,696426,82,1187984,14488,2009,16096.0,-0.09990059642147117
2010-11,29,Arizona,40,487543,40,668760,80,1156303,14454,2010,14488.0,-0.0023467697404748757
2011-12,30,Arizona,41,509241,41,699255,82,1208496,14738,2011,14454.0,0.019648540196485403
2012-13,29,Arizona,24,334165,24,425520,48,759685,15827,2012,14738.0,0.07389062287963089
2013-14,30,Arizona,41,564798,41,690727,82,1255525,15311,2013,15827.0,-0.03260251469008656
2014-15,28,Arizona,41,547149,41,712498,82,1259647,15362,2014,15311.0,0.003330938540918294
2015-16,29,Arizona,41,550763,41,701100,82,1251863,15267,2015,15362.0,-0.006184090613201406
2016-17,29,Arizona,41,536878,41,709710,82,1246588,15202,2016,15267.0,-0.0042575489618130605
2017-18,30,Arizona,41,534670,41,715901,82,1250571,15251,2017,15202.0,0.003223260097355611
2000-01,22,Boston,41,632746,41,674942,82,1307688,15947,2000,,
2001-02,25,Boston,41,631546,41,696139,82,1327685,16191,2001,15947.0,0.01530068351414059
2002-03,21,Boston,41,616197,41,697820,82,1314017,16025,2002,16191.0,-0.010252609474399358
2003-04,21,Boston,41,620469,41,680354,82,1300823,15864,2003,16025.0,-0.010046801872074884
2005-06,18,Boston,41,664673,41,732711,82,1397384,17041,2005,15864.0,0.07419314170448815
2006-07,25,Boston,41,605352,41,736688,82,1342040,16366,2006,17041.0,-0.039610351505193354
2007-08,26,Boston,41,630750,41,742633,82,1373383,16749,2007,16366.0,0.023402175241354028
2008-09,16,Boston,41,698638,41,744396,82,1443034,17598,2008,16749.0,0.0506895934085617
2009-10,15,Boston,40,695543,41,723486,81,1419029,17519,2009,17598.0,-0.004489146493919764
2010-11,16,Boston,40,702600,40,713880,80,1416480,17706,2010,17519.0,0.010674125235458645
2011-12,17,Boston,41,720145,41,758910,82,1479055,18037,2011,17706.0,0.018694227945329267
2012-13,15,Boston,24,421560,24,442680,48,864240,18005,2012,18037.0,-0.0017741309530409713
2013-14,16,Boston,41,720165,41,742346,82,1462511,17836,2013,18005.0,-0.009386281588447653
2014-15,18,Boston,41,720165,41,737672,82,1457837,17778,2014,17836.0,-0.0032518501906257007
2015-16,9,Boston,41,769846,41,739230,82,1509076,18403,2015,17778.0,0.0351558105523681
2016-17,18,Boston,41,720165,41,731235,82,1451400,17700,2016,18403.0,-0.038200293430418954
2017-18,19,Boston,41,720165,41,722092,82,1442257,17588,2017,17700.0,-0.006327683615819209
2000-01,9,Buffalo,41,731438,41,662888,82,1394326,17004,2000,,
2001-02,14,Buffalo,41,705468,41,675065,82,1380533,16836,2001,17004.0,-0.009880028228652082
2002-03,27,Buffalo,41,564827,41,696262,82,1261089,15379,2002,16836.0,-0.08654074602043241
2003-04,20,Buffalo,41,626903,41,666414,82,1293317,15772,2003,15379.0,0.025554327329475258
2005-06,14,Buffalo,41,692329,41,723363,82,1415692,17265,2005,15772.0,0.09466142531067714
2006-07,8,Buffalo,41,766290,41,722830,82,1489120,18160,2006,17265.0,0.05183898059658268
2007-08,2,Buffalo,41,817956,41,721928,82,1539884,18779,2007,18160.0,0.03408590308370044
2008-09,11,Buffalo,41,759798,41,718771,82,1478569,18031,2008,18779.0,-0.03983172692901645
2009-10,9,Buffalo,41,759695,41,699624,82,1459319,17797,2009,18031.0,-0.012977649603460706
2010-11,9,Buffalo,41,756568,41,698476,82,1455044,17744,2010,17797.0,-0.002978030005057032
2011-12,11,Buffalo,41,760558,41,731153,82,1491711,18192,2011,17744.0,0.025247971145175834
2012-13,9,Buffalo,24,455290,24,417000,48,872290,18173,2012,18192.0,-0.001044415127528584
2013-14,11,Buffalo,41,761767,41,713605,82,1475372,17992,2013,18173.0,-0.009959830517801133
2014-15,13,Buffalo,41,761809,41,707086,82,1468895,17913,2014,17992.0,-0.004390840373499333
2015-16,10,Buffalo,41,762223,41,707701,82,1469924,17926,2015,17913.0,0.0007257299168201864
2016-17,15,Buffalo,41,743819,41,706635,82,1450454,17688,2016,17926.0,-0.013276804641303135
2017-18,11,Buffalo,41,761104,41,712785,82,1473889,17974,2017,17688.0,0.01616915422885572
2000-01,15,Calgary,41,681535,41,676664,82,1358199,16563,2000,,
2001-02,21,Calgary,41,644466,41,665430,82,1309896,15974,2001,16563.0,-0.035561190605566624
2002-03,17,Calgary,41,665808,41,673671,82,1339479,16335,2002,15974.0,0.022599223738575185
2003-04,16,Calgary,41,679767,41,691383,82,1371150,16721,2003,16335.0,0.023630241812059995
2005-06,7,Calgary,41,790849,41,689292,82,1480141,18050,2005,16721.0,0.07948089229113091
2006-07,6,Calgary,41,790849,41,699173,82,1490022,18171,2006,18050.0,0.006703601108033241
2007-08,6,Calgary,41,790849,41,691260,82,1482109,18074,2007,18171.0,-0.005338176214847835
2008-09,6,Calgary,41,790849,41,708193,82,1499042,18281,2008,18074.0,0.011452915790638486
2009-10,5,Calgary,41,790849,41,690891,82,1481740,18070,2009,18281.0,-0.011542038181718724
2010-11,6,Calgary,40,771560,41,678878,81,1450438,17907,2010,18070.0,-0.009020475926950747
2011-12,7,Calgary,41,790849,41,698107,82,1488956,18158,2011,17907.0,0.01401686491316245
2012-13,7,Calgary,24,462936,24,400512,48,863448,17988,2012,18158.0,-0.009362264566582222
2013-14,7,Calgary,41,791389,41,691424,82,1482813,18083,2013,17988.0,0.005281298643540138
2014-15,6,Calgary,41,782977,41,706020,82,1488997,18158,2014,18083.0,0.004147541890173091
2015-16,7,Calgary,41,784974,41,691424,82,1476398,18005,2015,18158.0,-0.008426038109924
2016-17,10,Calgary,41,767829,41,704995,82,1472824,17961,2016,18005.0,-0.0024437656206609277
2017-18,8,Calgary,41,775105,41,700854,82,1475959,18000,2017,17961.0,0.0021713713044930684
2000-01,29,Carolina,41,547584,41,638575,82,1186159,14465,2000,,
2001-02,24,Carolina,41,635868,41,700936,82,1336804,16302,2001,14465.0,0.1269961977186312
2002-03,19,Carolina,41,642973,41,639887,82,1282860,15645,2002,16302.0,-0.04030180345969819
2003-04,29,Carolina,41,505534,41,661904,82,1167438,14237,2003,15645.0,-0.08999680409076383
2005-06,21,Carolina,41,639454,41,706512,82,1345966,16414,2005,14237.0,0.15291142796937557
2006-07,15,Carolina,41,712861,41,696303,82,1409164,17185,2006,16414.0,0.04697209699037407
2007-08,20,Carolina,41,681962,41,702904,82,1384866,16889,2007,17185.0,-0.01722432353796916
2008-09,20,Carolina,41,679488,41,702166,82,1381654,16849,2008,16889.0,-0.002368405471016638
2009-10,23,Carolina,41,624873,41,672031,82,1296904,15816,2009,16849.0,-0.0613092765149267
2010-11,20,Carolina,40,656611,40,671560,80,1328171,16602,2010,15816.0,0.04969650986342944
2011-12,22,Carolina,41,657747,41,716188,82,1373935,16755,2011,16602.0,0.009215757137694253
2012-13,17,Carolina,24,421401,24,425880,48,847281,17652,2012,16755.0,0.053536257833482544
2013-14,23,Carolina,41,634832,41,704585,82,1339417,16334,2013,17652.0,-0.07466576025379561
2014-15,29,Carolina,41,516375,41,710202,82,1226577,14958,2014,16334.0,-0.08424145953226399
2015-16,30,Carolina,41,500363,41,722010,82,1222373,14907,2015,14958.0,-0.00340954673084637
2016-17,30,Carolina,41,482829,41,702002,82,1184831,14449,2016,14907.0,-0.03072382102368015
2017-18,29,Carolina,41,546142,41,703396,82,1249538,15238,2017,14449.0,0.05460585507647588
2000-01,24,Chicago,41,614875,41,681748,82,1296623,15812,2000,,
2001-02,23,Chicago,41,638324,41,692203,82,1330527,16226,2001,15812.0,0.026182646091576018
2002-03,24,Chicago,41,606580,41,702084,82,1308664,15959,2002,16226.0,-0.016455072106495747
2003-04,27,Chicago,41,543374,41,697492,82,1240866,15133,2003,15959.0,-0.05175762892411805
2005-06,29,Chicago,41,546075,41,685889,82,1231964,15024,2005,15133.0,-0.007202801823828719
2006-07,29,Chicago,41,521809,41,684126,82,1205935,14707,2006,15024.0,-0.02109957401490948
2007-08,19,Chicago,41,689377,41,711063,82,1400440,17079,2007,14707.0,0.1612837424355749
2008-09,1,Chicago,41,912155,41,719345,82,1631500,19896,2008,17079.0,0.1649393992622519
2009-10,1,Chicago,40,854267,40,686520,80,1540787,19260,2009,19896.0,-0.031966224366706875
2010-11,1,Chicago,41,878356,41,732875,82,1611231,19649,2010,19260.0,0.02019730010384216
2011-12,1,Chicago,41,882874,41,720821,82,1603695,19557,2011,19649.0,-0.004682172120718611
